"name","link","rank","draft_year","draft_rd","draft_pk","recruit_year","top","highSchool","coll","draft","rookie","success"
"Billy Richmond","https://www.sports-reference.com/cbb/players/billy-richmond-1.html",75,,,,2000,1,1,0,,,
"Tony Stockman","https://www.sports-reference.com/cbb/players/tony-stockman-1.html",76,,,,2000,1,1,0,,,
"Liberto Tetimadingar","https://www.sports-reference.com/cbb/players/liberto-tetimadingar-1.html",77,,,,2000,1,1,0,,,
"Nick Smith","https://www.sports-reference.com/cbb/players/nick-smith-1.html",77,,,,2000,1,1,0,,,
"Johnnie Gilbert","https://www.sports-reference.com/cbb/players/johnnie-gilbert-1.html",79,,,,2000,1,1,0,,,
"Keith Triplett","https://www.sports-reference.com/cbb/players/keith-triplett-1.html",80,,,,2000,1,1,0,,,
"Julian Sensley","https://www.sports-reference.com/cbb/players/julian-sensley-1.html",81,,,,2000,1,1,0,,,
"Derrick Snowden","https://www.sports-reference.com/cbb/players/derrick-snowden-1.html",82,,,,2000,1,1,0,,,
"Lou Wright","https://www.sports-reference.com/cbb/players/lou-wright-1.html",82,,,,2000,1,1,0,,,
"Antonio Hargrove","",84,,,,2000,1,0,,,,
"Scott Merritt","https://www.sports-reference.com/cbb/players/scott-merritt-1.html",85,,,,2000,1,1,0,,,
"Brandon Crump","https://www.sports-reference.com/cbb/players/brandon-crump-1.html",86,,,,2000,1,1,0,,,
"Chris Daniels","https://www.sports-reference.com/cbb/players/chris-daniels-1.html",87,,,,2000,1,1,0,,,
"Taurance Johnson","https://www.sports-reference.com/cbb/players/taurance-johnson-1.html",88,,,,2000,1,1,0,,,
"Timmy Bowers","https://www.sports-reference.com/cbb/players/timmy-bowers-1.html",89,,,,2000,1,1,0,,,
"Tory Reed","https://www.sports-reference.com/cbb/players/tory-reed-1.html",90,,,,2000,1,1,0,,,
"Dave Holmes","https://www.sports-reference.com/cbb/players/dave-holmes-1.html",90,,,,2000,1,1,0,,,
"Yamar Diene","https://www.sports-reference.com/cbb/players/yamar-diene-1.html",92,,,,2000,1,1,0,,,
"Maurice Searight","https://www.sports-reference.com/cbb/players/maurice-searight-1.html",92,,,,2000,1,1,0,,,
"Patrick Dennehy","https://www.sports-reference.com/cbb/players/patrick-dennehy-1.html",94,,,,2000,1,1,0,,,
"Mike Bell","https://www.sports-reference.com/cbb/players/mike-bell-1.html",95,,,,2000,1,1,0,,,
"Barry Thompson","https://www.sports-reference.com/cbb/players/barry-thompson-1.html",96,,,,2000,1,1,0,,,
"Omari Westley","https://www.sports-reference.com/cbb/players/omari-westley-1.html",97,,,,2000,1,1,0,,,
"Marcus Melvin","https://www.sports-reference.com/cbb/players/marcus-melvin-1.html",98,,,,2000,1,1,0,,,
"Gerald Riley","https://www.sports-reference.com/cbb/players/gerald-riley-1.html",98,,,,2000,1,1,0,,,
"Jimmy Baxter","https://www.sports-reference.com/cbb/players/jimmy-baxter-1.html",100,,,,2000,1,1,0,,,
"Eddy Curry","/players/c/curryed01.html",1,2001,1,4,2001,1,1,2,1,1,4
"Kelvin Torbert","https://www.sports-reference.com/cbb/players/kelvin-torbert-1.html",2,,,,2001,1,1,0,,,
"Dajuan Wagner","/players/w/wagneda02.html",3,2002,1,6,2001,1,1,1,0,,
"Tyson Chandler","/players/c/chandty01.html",4,2001,1,2,2001,1,1,2,1,1,2
"Ousmane Cisse","",5,,,,2001,1,0,,,,
"Kwame Brown","/players/b/brownkw01.html",6,2001,1,1,2001,1,1,2,1,1,3
"Julius Hodge","/players/h/hodgeju01.html",7,2005,1,20,2001,1,1,1,0,,
"DeSagana Diop","/players/d/diopde01.html",8,2001,1,8,2001,1,1,2,1,0,
"Rick Rickert","https://www.sports-reference.com/cbb/players/rick-rickert-1.html",9,,,,2001,1,1,0,,,
"David Lee","/players/l/leeda02.html",10,2005,1,30,2001,1,1,1,1,1,2
"Jawad Williams","/players/w/willija04.html",11,,,,2001,1,1,0,,,
"Carlos Hurt","https://www.sports-reference.com/cbb/players/carlos-hurt-1.html",12,,,,2001,1,1,0,,,
"David Harrison","/players/h/harrida01.html",13,2004,1,29,2001,1,1,1,0,,
"Jonathan Hargett","https://www.sports-reference.com/cbb/players/jonathan-hargett-1.html",13,,,,2001,1,1,0,,,
"Aaron Miles","/players/m/milesaa01.html",15,,,,2001,1,1,0,,,
"Mo Williams","/players/w/willima01.html",16,2003,2,47,2001,1,1,1,1,1,3
"T.J. Ford","/players/f/fordtj01.html",17,2003,1,8,2001,1,1,1,1,1,3
"Josh Childress","/players/c/childjo01.html",18,2004,1,6,2001,1,1,1,1,1,2
"Cedric Bozeman","/players/b/bozemce01.html",19,,,,2001,1,1,0,,,
"Wayne Simien","/players/s/simiewa01.html",20,2005,1,29,2001,1,1,1,0,,
"Rashaad Carruth","https://www.sports-reference.com/cbb/players/rashaad-carruth-1.html",21,,,,2001,1,1,0,,,
"James White","/players/w/whiteja02.html",22,2006,2,31,2001,1,1,1,0,,
"Jamal Sampson","/players/s/sampsja01.html",23,2002,2,47,2001,1,1,1,0,,
"John Allen","https://www.sports-reference.com/cbb/players/john-allen-2.html",24,,,,2001,1,1,0,,,
"Jackie Manuel","https://www.sports-reference.com/cbb/players/jackie-manuel-1.html",25,,,,2001,1,1,0,,,
"Anthony Richardson","https://www.sports-reference.com/cbb/players/anthony-richardson-1.html",26,,,,2001,1,1,0,,,
"JaQuan Hart","https://www.sports-reference.com/cbb/players/jaquan-hart-1.html",26,,,,2001,1,1,0,,,
"Dijon Thompson","/players/t/thompdi01.html",28,2005,2,54,2001,1,1,1,0,,
"Daniel Ewing","/players/e/ewingda01.html",29,2005,2,32,2001,1,1,1,0,,
"Alan Anderson","/players/a/anderal01.html",30,,,,2001,1,1,0,,,
"Dennis Latimore","https://www.sports-reference.com/cbb/players/dennis-latimore-1.html",31,,,,2001,1,1,0,,,
"Pierre Pierce","https://www.sports-reference.com/cbb/players/pierre-pierce-1.html",32,,,,2001,1,1,0,,,
"Jason Maxiell","/players/m/maxieja01.html",32,2005,1,26,2001,1,1,1,1,1,4
"Robert Whaley","/players/w/whalero01.html",34,2005,2,51,2001,1,1,1,0,,
"Chris Thomas","https://www.sports-reference.com/cbb/players/chris-thomas-4.html",34,,,,2001,1,1,0,,,
"Billy Edelin","https://www.sports-reference.com/cbb/players/billy-edelin-1.html",36,,,,2001,1,1,0,,,
"Melvin Scott","https://www.sports-reference.com/cbb/players/melvin-scott-2.html",37,,,,2001,1,1,0,,,
"Elton Brown","https://www.sports-reference.com/cbb/players/elton-brown-1.html",38,,,,2001,1,1,0,,,
"Andre Patterson","https://www.sports-reference.com/cbb/players/andre-patterson-1.html",39,,,,2001,1,1,0,,,
"Travis Diener","/players/d/dienetr01.html",40,2005,2,38,2001,1,1,1,0,,
"Ben Gordon","/players/g/gordobe01.html",41,2004,1,3,2001,1,1,1,1,1,3
"Dommanic Ingerson","https://www.sports-reference.com/cbb/players/dommanic-ingerson-1.html",42,,,,2001,1,1,0,,,
"Julian Sensley","https://www.sports-reference.com/cbb/players/julian-sensley-1.html",42,,,,2001,1,1,0,,,
"Brandon Bender","https://www.sports-reference.com/cbb/players/brandon-bender-1.html",44,,,,2001,1,1,0,,,
"Brandon Fuss-Cheatham","https://www.sports-reference.com/cbb/players/brandon-fuss-cheatham-1.html",45,,,,2001,1,1,0,,,
"Chuck Hayes","/players/h/hayesch01.html",46,,,,2001,1,1,0,,,
"Earnest Shelton","https://www.sports-reference.com/cbb/players/earnest-shelton-1.html",47,,,,2001,1,1,0,,,
"Charles Frederick","https://www.sports-reference.com/cbb/players/charles-frederick-1.html",48,,,,2001,1,1,0,,,
"Ed Nelson","https://www.sports-reference.com/cbb/players/ed-nelson-1.html",49,,,,2001,1,1,0,,,
"Jamaal Levy","https://www.sports-reference.com/cbb/players/jamaal-levy-1.html",50,,,,2001,1,1,0,,,
"Quemont Greer","https://www.sports-reference.com/cbb/players/quemont-greer-1.html",50,,,,2001,1,1,0,,,
"Keith Jackson","https://www.sports-reference.com/cbb/players/keith-jackson-2.html",52,,,,2001,1,1,0,,,
"Will Bynum","/players/b/bynumwi01.html",53,,,,2001,1,1,0,,,
"Marco Killingsworth","https://www.sports-reference.com/cbb/players/marco-killingsworth-1.html",53,,,,2001,1,1,0,,,
"Joshua Tinch","https://www.sports-reference.com/cbb/players/joshua-tinch-1.html",55,,,,2001,1,1,0,,,
"Tony Key","",55,,,,2001,1,0,,,,
"Chey Christie","https://www.sports-reference.com/cbb/players/chey-christie-2.html",55,,,,2001,1,1,0,,,
"Najeeb Echols","https://www.sports-reference.com/cbb/players/najeeb-echols-1.html",58,,,,2001,1,1,0,,,
"Dwayne Mitchell","https://www.sports-reference.com/cbb/players/dwayne-mitchell-1.html",59,,,,2001,1,1,0,,,
"Levi Watkins","https://www.sports-reference.com/cbb/players/levi-watkins-1.html",60,,,,2001,1,1,0,,,
"Matt Sylvester","https://www.sports-reference.com/cbb/players/matt-sylvester-1.html",61,,,,2001,1,1,0,,,
"Roger Powell","/players/p/powelro01.html",62,,,,2001,1,1,0,,,
"Harvey Thomas","https://www.sports-reference.com/cbb/players/harvey-thomas-1.html",63,,,,2001,1,1,0,,,
"Levar Seals","https://www.sports-reference.com/cbb/players/levar-seals-1.html",64,,,,2001,1,1,0,,,
"Josh Powell","/players/p/poweljo01.html",65,,,,2001,1,1,0,,,
"Marcellus Sommerville","https://www.sports-reference.com/cbb/players/marcellus-sommerville-1.html",66,,,,2001,1,1,0,,,
"Duane John","https://www.sports-reference.com/cbb/players/duane-john-1.html",67,,,,2001,1,1,0,,,
"Errick Craven","https://www.sports-reference.com/cbb/players/errick-craven-1.html",68,,,,2001,1,1,0,,,
"Salim Stoudamire","/players/s/stoudsa01.html",69,2005,2,31,2001,1,1,1,0,,
"Rob Little","https://www.sports-reference.com/cbb/players/rob-little-1.html",70,,,,2001,1,1,0,,,
"Larry Turner","https://www.sports-reference.com/cbb/players/larry-turner-1.html",71,,,,2001,1,1,0,,,
"Marcus Spears","",72,,,,2001,1,0,,,,
"Anthony Vasser","",72,,,,2001,1,0,,,,
"Isma'Il Muhammad","https://www.sports-reference.com/cbb/players/ismail-muhammad-1.html",74,,,,2001,1,1,0,,,
"Marcus Campbell","https://www.sports-reference.com/cbb/players/marcus-campbell-2.html",75,,,,2001,1,1,0,,,
"Anthony Rice","https://www.sports-reference.com/cbb/players/anthony-rice-1.html",76,,,,2001,1,1,0,,,
"Winsome Frazier","https://www.sports-reference.com/cbb/players/winsome-frazier-1.html",77,,,,2001,1,1,0,,,
"Jamaal Williams","https://www.sports-reference.com/cbb/players/jamaal-williams-1.html",78,,,,2001,1,1,0,,,
"Craig Forth","https://www.sports-reference.com/cbb/players/craig-forth-1.html",79,,,,2001,1,1,0,,,
"Erroll Knight","https://www.sports-reference.com/cbb/players/erroll-knight-1.html",80,,,,2001,1,1,0,,,
"Ernest Turner","https://www.sports-reference.com/cbb/players/ernest-turner-1.html",80,,,,2001,1,1,0,,,
"Taurance Johnson","https://www.sports-reference.com/cbb/players/taurance-johnson-1.html",82,,,,2001,1,1,0,,,
"Mitchell Baldwin","https://www.sports-reference.com/cbb/players/mitchell-baldwin-1.html",83,,,,2001,1,1,0,,,
"Eddie Basden","/players/b/basdeed01.html",84,,,,2001,1,1,0,,,
"Vytas Danelius","https://www.sports-reference.com/cbb/players/vytas-danelius-1.html",85,,,,2001,1,1,0,,,
"Jermaine Watson","https://www.sports-reference.com/cbb/players/jermaine-watson-1.html",86,,,,2001,1,1,0,,,
"Channing Frye","/players/f/fryech01.html",87,2005,1,8,2001,1,1,1,1,1,2
"Lawrence Roberts","/players/r/roberla01.html",87,2005,2,55,2001,1,1,1,0,,
"Derek Stribling","https://www.sports-reference.com/cbb/players/derek-stribling-1.html",89,,,,2001,1,1,0,,,
"Mike Jensen","https://www.sports-reference.com/cbb/players/mike-jensen-1.html",90,,,,2001,1,1,0,,,
"Keith Langford","/players/l/langfke01.html",91,,,,2001,1,1,0,,,
"Jason Braxton","https://www.sports-reference.com/cbb/players/jason-braxton-1.html",92,,,,2001,1,1,0,,,
"Jason Clark","https://www.sports-reference.com/cbb/players/jason-clark-2.html",92,,,,2001,1,1,0,,,
"Chris Hernandez","https://www.sports-reference.com/cbb/players/chris-hernandez-1.html",94,,,,2001,1,1,0,,,
"Marcus Austin","https://www.sports-reference.com/cbb/players/marcus-austin-1.html",94,,,,2001,1,1,0,,,
"Terry Licorish","",96,,,,2001,1,0,,,,
"B.J. Elder","https://www.sports-reference.com/cbb/players/bj-elder-1.html",97,,,,2001,1,1,0,,,
"Carl Krauser","https://www.sports-reference.com/cbb/players/carl-krauser-1.html",98,,,,2001,1,1,0,,,
"Emeka Okafor","/players/o/okafoem01.html",99,2004,1,2,2001,1,1,1,1,1,3
"Michael Fey","https://www.sports-reference.com/cbb/players/michael-fey-1.html",100,,,,2001,1,1,0,,,
"Amar'e Stoudemire","/players/s/stoudam01.html",1,2002,1,9,2002,1,1,2,1,1,2
"Carmelo Anthony","/players/a/anthoca01.html",2,2003,1,3,2002,1,1,1,1,1,2
"Raymond Felton","/players/f/feltora01.html",3,2005,1,5,2002,1,1,1,1,1,3
"Rashad McCants","/players/m/mccanra01.html",4,2005,1,14,2002,1,1,1,1,0,
"Chris Bosh","/players/b/boshch01.html",5,2003,1,4,2002,1,1,1,1,1,2
"Jason Fraser","https://www.sports-reference.com/cbb/players/jason-fraser-1.html",5,,,,2002,1,1,0,,,
"Paul Davis","/players/d/davispa01.html",7,2006,2,34,2002,1,1,1,0,,
"Shelden Williams","/players/w/willish02.html",8,2006,1,5,2002,1,1,1,1,1,4
"Sean May","/players/m/mayse01.html",9,2005,1,13,2002,1,1,1,0,,
"DeAngelo Collins","",10,,,,2002,1,0,,,,
"J.J. Redick","/players/r/redicjj01.html",11,2006,1,11,2002,1,1,1,1,1,2
"Bracey Wright","/players/w/wrighbr02.html",12,2005,2,47,2002,1,1,1,0,,
"Evan Burns","https://www.sports-reference.com/cbb/players/evan-burns-1.html",13,,,,2002,1,1,0,,,
"Shavlik Randolph","/players/r/randosh01.html",14,,,,2002,1,1,0,,,
"Daniel Horton","https://www.sports-reference.com/cbb/players/daniel-horton-1.html",15,,,,2002,1,1,0,,,
"Anthony Roberson","/players/r/roberan02.html",16,,,,2002,1,1,0,,,
"Chris Rodgers","https://www.sports-reference.com/cbb/players/chris-rodgers-1.html",17,,,,2002,1,1,0,,,
"Antoine Wright","/players/w/wrighan01.html",18,2005,1,15,2002,1,1,1,1,0,
"Dee Brown","/players/b/brownde03.html",19,2006,2,46,2002,1,1,1,0,,
"Hassan Adams","/players/a/adamsha01.html",20,2006,2,54,2002,1,1,1,0,,
"Sean Dockery","https://www.sports-reference.com/cbb/players/sean-dockery-1.html",21,,,,2002,1,1,0,,,
"Brad Buckman","https://www.sports-reference.com/cbb/players/brad-buckman-1.html",22,,,,2002,1,1,0,,,
"Sani Ibrahim","",23,,,,2002,1,0,,,,
"Rashad Anderson","https://www.sports-reference.com/cbb/players/rashad-anderson-1.html",24,,,,2002,1,1,0,,,
"Lenny Cooke","",25,,,,2002,1,0,,,,
"Bryan Hopkins","https://www.sports-reference.com/cbb/players/bryan-hopkins-1.html",25,,,,2002,1,1,0,,,
"Andre Iguodala","/players/i/iguodan01.html",27,2004,1,9,2002,1,1,1,1,1,1
"Elijah Ingram","https://www.sports-reference.com/cbb/players/elijah-ingram-1.html",28,,,,2002,1,1,0,,,
"Travis Garrison","https://www.sports-reference.com/cbb/players/travis-garrison-1.html",29,,,,2002,1,1,0,,,
"Michael Thompson","https://www.sports-reference.com/cbb/players/michael-thompson-1.html",30,,,,2002,1,1,0,,,
"Kelenna Azubuike","/players/a/azubuke01.html",31,,,,2002,1,1,0,,,
"Kevin Bookout","https://www.sports-reference.com/cbb/players/kevin-bookout-1.html",31,,,,2002,1,1,0,,,
"Kennedy Winston","https://www.sports-reference.com/cbb/players/kennedy-winston-1.html",33,,,,2002,1,1,0,,,
"Denham Brown","https://www.sports-reference.com/cbb/players/denham-brown-1.html",34,,,,2002,1,1,0,,,
"Jimmy McKinney","https://www.sports-reference.com/cbb/players/jimmy-mckinney-1.html",35,,,,2002,1,1,0,,,
"Eric Williams","https://www.sports-reference.com/cbb/players/eric-williams-5.html",36,,,,2002,1,1,0,,,
"Torin Francis","https://www.sports-reference.com/cbb/players/torin-francis-1.html",37,,,,2002,1,1,0,,,
"Gerry McNamara","https://www.sports-reference.com/cbb/players/gerry-mcnamara-1.html",38,,,,2002,1,1,0,,,
"Allan Ray","/players/r/rayal01.html",39,,,,2002,1,1,0,,,
"Matt Walsh","/players/w/walshma01.html",40,,,,2002,1,1,0,,,
"Alexander Johnson","/players/j/johnsal01.html",41,2006,2,45,2002,1,1,1,0,,
"Curtis Sumpter","https://www.sports-reference.com/cbb/players/curtis-sumpter-1.html",42,,,,2002,1,1,0,,,
"John Gilchrist","https://www.sports-reference.com/cbb/players/john-gilchrist-1.html",43,,,,2002,1,1,0,,,
"Antonio Lawrence","https://www.sports-reference.com/cbb/players/antonio-lawrence-1.html",44,,,,2002,1,1,0,,,
"Brandon Roy","/players/r/roybr01.html",45,2006,1,6,2002,1,1,1,1,1,1
"Jarrett Jack","/players/j/jackja01.html",46,2005,1,22,2002,1,1,1,1,1,3
"De'Angelo Alexander","https://www.sports-reference.com/cbb/players/deangelo-alexander-1.html",47,,,,2002,1,1,0,,,
"Deron Williams","/players/w/willide01.html",48,2005,1,3,2002,1,1,1,1,1,2
"Lester Abram","https://www.sports-reference.com/cbb/players/lester-abram-1.html",49,,,,2002,1,1,0,,,
"Greg Brunner","https://www.sports-reference.com/cbb/players/greg-brunner-1.html",50,,,,2002,1,1,0,,,
"Ike Diogu","/players/d/dioguik01.html",51,2005,1,9,2002,1,1,1,0,,
"Matt Trannon","https://www.sports-reference.com/cbb/players/matt-trannon-1.html",52,,,,2002,1,1,0,,,
"Mario Boggan","https://www.sports-reference.com/cbb/players/mario-boggan-1.html",53,,,,2002,1,1,0,,,
"Maurice Ager","/players/a/agerma01.html",54,2006,1,28,2002,1,1,1,0,,
"Eric Hicks","https://www.sports-reference.com/cbb/players/eric-hicks-1.html",55,,,,2002,1,1,0,,,
"Randy Foye","/players/f/foyera01.html",56,2006,1,7,2002,1,1,1,1,1,3
"Steve Novak","/players/n/novakst01.html",57,2006,2,32,2002,1,1,1,1,0,
"Derrick Byars","/players/b/byarsde01.html",58,2007,2,42,2002,1,1,1,0,,
"Jeff Horner","https://www.sports-reference.com/cbb/players/jeff-horner-1.html",59,,,,2002,1,1,0,,,
"Chris McCray","/players/m/mccrach01.html",60,,,,2002,1,1,0,,,
"Justin Gray","https://www.sports-reference.com/cbb/players/justin-gray-1.html",61,,,,2002,1,1,0,,,
"Marshall Strickland","https://www.sports-reference.com/cbb/players/marshall-strickland-1.html",62,,,,2002,1,1,0,,,
"Julius Lamptey","",62,,,,2002,1,0,,,,
"Robert Hite","/players/h/hitero01.html",64,,,,2002,1,1,0,,,
"Taquan Dean","https://www.sports-reference.com/cbb/players/taquan-dean-1.html",65,,,,2002,1,1,0,,,
"Keith Butler","https://www.sports-reference.com/cbb/players/keith-butler-2.html",66,,,,2002,1,1,0,,,
"Curtis Withers","https://www.sports-reference.com/cbb/players/curtis-withers-1.html",67,,,,2002,1,1,0,,,
"J.R. Morris","https://www.sports-reference.com/cbb/players/jr-morris-1.html",68,,,,2002,1,1,0,,,
"Rick Billings","https://www.sports-reference.com/cbb/players/rick-billings-1.html",69,,,,2002,1,1,0,,,
"Chadd Moore","https://www.sports-reference.com/cbb/players/chadd-moore-1.html",70,,,,2002,1,1,0,,,
"Francisco Garcia","/players/g/garcifr01.html",71,2005,1,23,2002,1,1,1,1,1,3
"Jeremy Hunt","https://www.sports-reference.com/cbb/players/jeremy-hunt-1.html",72,,,,2002,1,1,0,,,
"Matt Haryasz","https://www.sports-reference.com/cbb/players/matt-haryasz-1.html",73,,,,2002,1,1,0,,,
"Adam Haluska","https://www.sports-reference.com/cbb/players/adam-haluska-1.html",74,,,,2002,1,1,0,,,
"Aliou Kane","https://www.sports-reference.com/cbb/players/aliou-kane-1.html",75,,,,2002,1,1,0,,,
"Chris Quinn","/players/q/quinnch01.html",75,,,,2002,1,1,0,,,
"Yusuf Baker","https://www.sports-reference.com/cbb/players/yusuf-baker-1.html",75,,,,2002,1,1,0,,,
"James Augustine","/players/a/augusja01.html",78,2006,2,41,2002,1,1,1,0,,
"Chuck Davis","https://www.sports-reference.com/cbb/players/chuck-davis-1.html",79,,,,2002,1,1,0,,,
"Greg Brown","https://www.sports-reference.com/cbb/players/greg-brown-2.html",80,,,,2002,1,1,0,,,
"Marcus White","https://www.sports-reference.com/cbb/players/marcus-white-1.html",81,,,,2002,1,1,0,,,
"Trent Strickland","https://www.sports-reference.com/cbb/players/trent-strickland-1.html",82,,,,2002,1,1,0,,,
"Vincent Grier","https://www.sports-reference.com/cbb/players/vincent-grier-1.html",83,,,,2002,1,1,0,,,
"Almamy Thiero","https://www.sports-reference.com/cbb/players/almamy-thiero-1.html",84,,,,2002,1,1,0,,,
"Cameron Bennerman","https://www.sports-reference.com/cbb/players/cameron-bennerman-1.html",84,,,,2002,1,1,0,,,
"Aaron Spears","https://www.sports-reference.com/cbb/players/aaron-spears-1.html",86,,,,2002,1,1,0,,,
"C.J. Watson","/players/w/watsocj01.html",86,,,,2002,1,1,0,,,
"Josh Rhodes","",88,,,,2002,1,0,,,,
"Marquise Kately","https://www.sports-reference.com/cbb/players/marquise-kately-1.html",89,,,,2002,1,1,0,,,
"Boo Wade","https://www.sports-reference.com/cbb/players/boo-wade-1.html",90,,,,2002,1,1,0,,,
"Matt Kiefer","https://www.sports-reference.com/cbb/players/matt-kiefer-1.html",91,,,,2002,1,1,0,,,
"Mario Moore","https://www.sports-reference.com/cbb/players/mario-moore-1.html",91,,,,2002,1,1,0,,,
"Kevin Young","https://www.sports-reference.com/cbb/players/kevin-young-2.html",93,,,,2002,1,1,0,,,
"Gary Ervin","https://www.sports-reference.com/cbb/players/gary-ervin-1.html",94,,,,2002,1,1,0,,,
"Dedrick Finn","https://www.sports-reference.com/cbb/players/dedrick-finn-1.html",95,,,,2002,1,1,0,,,
"Nik Caner-Medley","https://www.sports-reference.com/cbb/players/nik-caner-medley-1.html",95,,,,2002,1,1,0,,,
"Bobby Jones","/players/j/jonesbo02.html",97,2006,2,37,2002,1,1,1,0,,
"Wes Wilkinson","https://www.sports-reference.com/cbb/players/wes-wilkinson-1.html",98,,,,2002,1,1,0,,,
