"name","link","rank","draft_year","draft_rd","draft_pk","recruit_year","top","highSchool","coll","draft","rookie","success","highest"
"Neil Fingleton","https://www.sports-reference.com/cbb/players/neil-fingleton-1.html",54,,,,2000,1,1,0,,,,"college"
"Kendall Dartez","https://www.sports-reference.com/cbb/players/kendall-dartez-1.html",55,,,,2000,1,1,0,,,,"college"
"A.J. Moye","https://www.sports-reference.com/cbb/players/aj-moye-1.html",56,,,,2000,1,1,0,,,,"college"
"Maurice Young","https://www.sports-reference.com/cbb/players/maurice-young-1.html",57,,,,2000,1,1,0,,,,"college"
"Jake Sullivan","https://www.sports-reference.com/cbb/players/jake-sullivan-1.html",58,,,,2000,1,1,0,,,,"college"
"Demetrius Smith","https://www.sports-reference.com/cbb/players/demetrius-smith-1.html",59,,,,2000,1,1,0,,,,"college"
"Matt Lottich","https://www.sports-reference.com/cbb/players/matt-lottich-1.html",60,,,,2000,1,1,0,,,,"college"
"Modibo Diarra","https://www.sports-reference.com/cbb/players/modibo-diarra-1.html",61,,,,2000,1,1,0,,,,"college"
"Marvin Lewis","https://www.sports-reference.com/cbb/players/marvin-lewis-1.html",61,,,,2000,1,1,0,,,,"college"
"Kyle Cuffe","https://www.sports-reference.com/cbb/players/kyle-cuffe-1.html",63,,,,2000,1,1,0,,,,"college"
"Omar Weaver","",64,,,,2000,1,0,,,,,"highSchool"
"Avery Queen","https://www.sports-reference.com/cbb/players/avery-queen-1.html",64,,,,2000,1,1,0,,,,"college"
"James Thomas","/players/t/thomaja02.html",66,,,,2000,1,1,0,,,,"college"
"Bernard Robinson","/players/r/robinbe01.html",67,2004,2,45,2000,1,1,1,0,,,"draft"
"Scooter McFadgon","https://www.sports-reference.com/cbb/players/scooter-mcfadgon-1.html",68,,,,2000,1,1,0,,,,"college"
"Luke Ridnour","/players/r/ridnolu01.html",68,2003,1,14,2000,1,1,1,1,1,3,"success"
"JueMichael Young","https://www.sports-reference.com/cbb/players/jumichael-young-1.html",70,,,,2000,1,1,0,,,,"college"
"Dwon Clifton","https://www.sports-reference.com/cbb/players/dwon-clifton-1.html",71,,,,2000,1,1,0,,,,"college"
"Andrew Zahn","https://www.sports-reference.com/cbb/players/andrew-zahn-1.html",72,,,,2000,1,1,0,,,,"college"
"Wesley Stokes","https://www.sports-reference.com/cbb/players/wesley-stokes-1.html",72,,,,2000,1,1,0,,,,"college"
"Jeff McMillan","https://www.sports-reference.com/cbb/players/jeff-mcmillan-1.html",74,,,,2000,1,1,0,,,,"college"
"Billy Richmond","https://www.sports-reference.com/cbb/players/billy-richmond-1.html",75,,,,2000,1,1,0,,,,"college"
"Tony Stockman","https://www.sports-reference.com/cbb/players/tony-stockman-1.html",76,,,,2000,1,1,0,,,,"college"
"Liberto Tetimadingar","https://www.sports-reference.com/cbb/players/liberto-tetimadingar-1.html",77,,,,2000,1,1,0,,,,"college"
"Nick Smith","https://www.sports-reference.com/cbb/players/nick-smith-1.html",77,,,,2000,1,1,0,,,,"college"
"Johnnie Gilbert","https://www.sports-reference.com/cbb/players/johnnie-gilbert-1.html",79,,,,2000,1,1,0,,,,"college"
"Keith Triplett","https://www.sports-reference.com/cbb/players/keith-triplett-1.html",80,,,,2000,1,1,0,,,,"college"
"Julian Sensley","https://www.sports-reference.com/cbb/players/julian-sensley-1.html",81,,,,2000,1,1,0,,,,"college"
"Derrick Snowden","https://www.sports-reference.com/cbb/players/derrick-snowden-1.html",82,,,,2000,1,1,0,,,,"college"
"Lou Wright","https://www.sports-reference.com/cbb/players/lou-wright-1.html",82,,,,2000,1,1,0,,,,"college"
"Antonio Hargrove","",84,,,,2000,1,0,,,,,"highSchool"
"Scott Merritt","https://www.sports-reference.com/cbb/players/scott-merritt-1.html",85,,,,2000,1,1,0,,,,"college"
"Brandon Crump","https://www.sports-reference.com/cbb/players/brandon-crump-1.html",86,,,,2000,1,1,0,,,,"college"
"Chris Daniels","https://www.sports-reference.com/cbb/players/chris-daniels-1.html",87,,,,2000,1,1,0,,,,"college"
"Taurance Johnson","https://www.sports-reference.com/cbb/players/taurance-johnson-1.html",88,,,,2000,1,1,0,,,,"college"
"Timmy Bowers","https://www.sports-reference.com/cbb/players/timmy-bowers-1.html",89,,,,2000,1,1,0,,,,"college"
"Tory Reed","https://www.sports-reference.com/cbb/players/tory-reed-1.html",90,,,,2000,1,1,0,,,,"college"
"Dave Holmes","https://www.sports-reference.com/cbb/players/dave-holmes-1.html",90,,,,2000,1,1,0,,,,"college"
"Yamar Diene","https://www.sports-reference.com/cbb/players/yamar-diene-1.html",92,,,,2000,1,1,0,,,,"college"
"Maurice Searight","https://www.sports-reference.com/cbb/players/maurice-searight-1.html",92,,,,2000,1,1,0,,,,"college"
"Patrick Dennehy","https://www.sports-reference.com/cbb/players/patrick-dennehy-1.html",94,,,,2000,1,1,0,,,,"college"
"Mike Bell","https://www.sports-reference.com/cbb/players/mike-bell-1.html",95,,,,2000,1,1,0,,,,"college"
"Barry Thompson","https://www.sports-reference.com/cbb/players/barry-thompson-1.html",96,,,,2000,1,1,0,,,,"college"
"Omari Westley","https://www.sports-reference.com/cbb/players/omari-westley-1.html",97,,,,2000,1,1,0,,,,"college"
"Marcus Melvin","https://www.sports-reference.com/cbb/players/marcus-melvin-1.html",98,,,,2000,1,1,0,,,,"college"
"Gerald Riley","https://www.sports-reference.com/cbb/players/gerald-riley-1.html",98,,,,2000,1,1,0,,,,"college"
"Jimmy Baxter","https://www.sports-reference.com/cbb/players/jimmy-baxter-1.html",100,,,,2000,1,1,0,,,,"college"
"Eddy Curry","/players/c/curryed01.html",1,2001,1,4,2001,1,1,2,1,1,4,"success"
"Kelvin Torbert","https://www.sports-reference.com/cbb/players/kelvin-torbert-1.html",2,,,,2001,1,1,0,,,,"college"
"Dajuan Wagner","/players/w/wagneda02.html",3,2002,1,6,2001,1,1,1,0,,,"draft"
"Tyson Chandler","/players/c/chandty01.html",4,2001,1,2,2001,1,1,2,1,1,2,"success"
"Ousmane Cisse","",5,,,,2001,1,0,,,,,"highSchool"
"Kwame Brown","/players/b/brownkw01.html",6,2001,1,1,2001,1,1,2,1,1,3,"success"
"Julius Hodge","/players/h/hodgeju01.html",7,2005,1,20,2001,1,1,1,0,,,"draft"
"DeSagana Diop","/players/d/diopde01.html",8,2001,1,8,2001,1,1,2,1,0,,"rookie"
"Rick Rickert","https://www.sports-reference.com/cbb/players/rick-rickert-1.html",9,,,,2001,1,1,0,,,,"college"
"David Lee","/players/l/leeda02.html",10,2005,1,30,2001,1,1,1,1,1,2,"success"
"Jawad Williams","/players/w/willija04.html",11,,,,2001,1,1,0,,,,"college"
"Carlos Hurt","https://www.sports-reference.com/cbb/players/carlos-hurt-1.html",12,,,,2001,1,1,0,,,,"college"
"David Harrison","/players/h/harrida01.html",13,2004,1,29,2001,1,1,1,0,,,"draft"
"Jonathan Hargett","https://www.sports-reference.com/cbb/players/jonathan-hargett-1.html",13,,,,2001,1,1,0,,,,"college"
"Aaron Miles","/players/m/milesaa01.html",15,,,,2001,1,1,0,,,,"college"
"Mo Williams","/players/w/willima01.html",16,2003,2,47,2001,1,1,1,1,1,3,"success"
"T.J. Ford","/players/f/fordtj01.html",17,2003,1,8,2001,1,1,1,1,1,3,"success"
"Josh Childress","/players/c/childjo01.html",18,2004,1,6,2001,1,1,1,1,1,2,"success"
"Cedric Bozeman","/players/b/bozemce01.html",19,,,,2001,1,1,0,,,,"college"
"Wayne Simien","/players/s/simiewa01.html",20,2005,1,29,2001,1,1,1,0,,,"draft"
"Rashaad Carruth","https://www.sports-reference.com/cbb/players/rashaad-carruth-1.html",21,,,,2001,1,1,0,,,,"college"
"James White","/players/w/whiteja02.html",22,2006,2,31,2001,1,1,1,0,,,"draft"
"Jamal Sampson","/players/s/sampsja01.html",23,2002,2,47,2001,1,1,1,0,,,"draft"
"John Allen","https://www.sports-reference.com/cbb/players/john-allen-2.html",24,,,,2001,1,1,0,,,,"college"
"Jackie Manuel","https://www.sports-reference.com/cbb/players/jackie-manuel-1.html",25,,,,2001,1,1,0,,,,"college"
"Anthony Richardson","https://www.sports-reference.com/cbb/players/anthony-richardson-1.html",26,,,,2001,1,1,0,,,,"college"
"JaQuan Hart","https://www.sports-reference.com/cbb/players/jaquan-hart-1.html",26,,,,2001,1,1,0,,,,"college"
"Dijon Thompson","/players/t/thompdi01.html",28,2005,2,54,2001,1,1,1,0,,,"draft"
"Daniel Ewing","/players/e/ewingda01.html",29,2005,2,32,2001,1,1,1,0,,,"draft"
"Alan Anderson","/players/a/anderal01.html",30,,,,2001,1,1,0,,,,"college"
"Dennis Latimore","https://www.sports-reference.com/cbb/players/dennis-latimore-1.html",31,,,,2001,1,1,0,,,,"college"
"Pierre Pierce","https://www.sports-reference.com/cbb/players/pierre-pierce-1.html",32,,,,2001,1,1,0,,,,"college"
"Jason Maxiell","/players/m/maxieja01.html",32,2005,1,26,2001,1,1,1,1,1,4,"success"
"Robert Whaley","/players/w/whalero01.html",34,2005,2,51,2001,1,1,1,0,,,"draft"
"Chris Thomas","https://www.sports-reference.com/cbb/players/chris-thomas-4.html",34,,,,2001,1,1,0,,,,"college"
"Billy Edelin","https://www.sports-reference.com/cbb/players/billy-edelin-1.html",36,,,,2001,1,1,0,,,,"college"
"Melvin Scott","https://www.sports-reference.com/cbb/players/melvin-scott-2.html",37,,,,2001,1,1,0,,,,"college"
"Elton Brown","https://www.sports-reference.com/cbb/players/elton-brown-1.html",38,,,,2001,1,1,0,,,,"college"
"Andre Patterson","https://www.sports-reference.com/cbb/players/andre-patterson-1.html",39,,,,2001,1,1,0,,,,"college"
"Travis Diener","/players/d/dienetr01.html",40,2005,2,38,2001,1,1,1,0,,,"draft"
"Ben Gordon","/players/g/gordobe01.html",41,2004,1,3,2001,1,1,1,1,1,3,"success"
"Dommanic Ingerson","https://www.sports-reference.com/cbb/players/dommanic-ingerson-1.html",42,,,,2001,1,1,0,,,,"college"
"Julian Sensley","https://www.sports-reference.com/cbb/players/julian-sensley-1.html",42,,,,2001,1,1,0,,,,"college"
"Brandon Bender","https://www.sports-reference.com/cbb/players/brandon-bender-1.html",44,,,,2001,1,1,0,,,,"college"
"Brandon Fuss-Cheatham","https://www.sports-reference.com/cbb/players/brandon-fuss-cheatham-1.html",45,,,,2001,1,1,0,,,,"college"
"Chuck Hayes","/players/h/hayesch01.html",46,,,,2001,1,1,0,,,,"college"
"Earnest Shelton","https://www.sports-reference.com/cbb/players/earnest-shelton-1.html",47,,,,2001,1,1,0,,,,"college"
"Charles Frederick","https://www.sports-reference.com/cbb/players/charles-frederick-1.html",48,,,,2001,1,1,0,,,,"college"
"Ed Nelson","https://www.sports-reference.com/cbb/players/ed-nelson-1.html",49,,,,2001,1,1,0,,,,"college"
"Jamaal Levy","https://www.sports-reference.com/cbb/players/jamaal-levy-1.html",50,,,,2001,1,1,0,,,,"college"
"Quemont Greer","https://www.sports-reference.com/cbb/players/quemont-greer-1.html",50,,,,2001,1,1,0,,,,"college"
"Keith Jackson","https://www.sports-reference.com/cbb/players/keith-jackson-2.html",52,,,,2001,1,1,0,,,,"college"
"Will Bynum","/players/b/bynumwi01.html",53,,,,2001,1,1,0,,,,"college"
"Marco Killingsworth","https://www.sports-reference.com/cbb/players/marco-killingsworth-1.html",53,,,,2001,1,1,0,,,,"college"
"Joshua Tinch","https://www.sports-reference.com/cbb/players/joshua-tinch-1.html",55,,,,2001,1,1,0,,,,"college"
"Tony Key","",55,,,,2001,1,0,,,,,"highSchool"
"Chey Christie","https://www.sports-reference.com/cbb/players/chey-christie-2.html",55,,,,2001,1,1,0,,,,"college"
"Najeeb Echols","https://www.sports-reference.com/cbb/players/najeeb-echols-1.html",58,,,,2001,1,1,0,,,,"college"
"Dwayne Mitchell","https://www.sports-reference.com/cbb/players/dwayne-mitchell-1.html",59,,,,2001,1,1,0,,,,"college"
"Levi Watkins","https://www.sports-reference.com/cbb/players/levi-watkins-1.html",60,,,,2001,1,1,0,,,,"college"
"Matt Sylvester","https://www.sports-reference.com/cbb/players/matt-sylvester-1.html",61,,,,2001,1,1,0,,,,"college"
"Roger Powell","/players/p/powelro01.html",62,,,,2001,1,1,0,,,,"college"
"Harvey Thomas","https://www.sports-reference.com/cbb/players/harvey-thomas-1.html",63,,,,2001,1,1,0,,,,"college"
"Levar Seals","https://www.sports-reference.com/cbb/players/levar-seals-1.html",64,,,,2001,1,1,0,,,,"college"
"Josh Powell","/players/p/poweljo01.html",65,,,,2001,1,1,0,,,,"college"
"Marcellus Sommerville","https://www.sports-reference.com/cbb/players/marcellus-sommerville-1.html",66,,,,2001,1,1,0,,,,"college"
"Duane John","https://www.sports-reference.com/cbb/players/duane-john-1.html",67,,,,2001,1,1,0,,,,"college"
"Errick Craven","https://www.sports-reference.com/cbb/players/errick-craven-1.html",68,,,,2001,1,1,0,,,,"college"
"Salim Stoudamire","/players/s/stoudsa01.html",69,2005,2,31,2001,1,1,1,0,,,"draft"
"Rob Little","https://www.sports-reference.com/cbb/players/rob-little-1.html",70,,,,2001,1,1,0,,,,"college"
"Larry Turner","https://www.sports-reference.com/cbb/players/larry-turner-1.html",71,,,,2001,1,1,0,,,,"college"
"Marcus Spears","",72,,,,2001,1,0,,,,,"highSchool"
"Anthony Vasser","",72,,,,2001,1,0,,,,,"highSchool"
"Isma'Il Muhammad","https://www.sports-reference.com/cbb/players/ismail-muhammad-1.html",74,,,,2001,1,1,0,,,,"college"
"Marcus Campbell","https://www.sports-reference.com/cbb/players/marcus-campbell-2.html",75,,,,2001,1,1,0,,,,"college"
"Anthony Rice","https://www.sports-reference.com/cbb/players/anthony-rice-1.html",76,,,,2001,1,1,0,,,,"college"
"Winsome Frazier","https://www.sports-reference.com/cbb/players/winsome-frazier-1.html",77,,,,2001,1,1,0,,,,"college"
"Jamaal Williams","https://www.sports-reference.com/cbb/players/jamaal-williams-1.html",78,,,,2001,1,1,0,,,,"college"
"Craig Forth","https://www.sports-reference.com/cbb/players/craig-forth-1.html",79,,,,2001,1,1,0,,,,"college"
"Erroll Knight","https://www.sports-reference.com/cbb/players/erroll-knight-1.html",80,,,,2001,1,1,0,,,,"college"
"Ernest Turner","https://www.sports-reference.com/cbb/players/ernest-turner-1.html",80,,,,2001,1,1,0,,,,"college"
"Taurance Johnson","https://www.sports-reference.com/cbb/players/taurance-johnson-1.html",82,,,,2001,1,1,0,,,,"college"
"Mitchell Baldwin","https://www.sports-reference.com/cbb/players/mitchell-baldwin-1.html",83,,,,2001,1,1,0,,,,"college"
"Eddie Basden","/players/b/basdeed01.html",84,,,,2001,1,1,0,,,,"college"
"Vytas Danelius","https://www.sports-reference.com/cbb/players/vytas-danelius-1.html",85,,,,2001,1,1,0,,,,"college"
"Jermaine Watson","https://www.sports-reference.com/cbb/players/jermaine-watson-1.html",86,,,,2001,1,1,0,,,,"college"
"Channing Frye","/players/f/fryech01.html",87,2005,1,8,2001,1,1,1,1,1,2,"success"
"Lawrence Roberts","/players/r/roberla01.html",87,2005,2,55,2001,1,1,1,0,,,"draft"
"Derek Stribling","https://www.sports-reference.com/cbb/players/derek-stribling-1.html",89,,,,2001,1,1,0,,,,"college"
"Mike Jensen","https://www.sports-reference.com/cbb/players/mike-jensen-1.html",90,,,,2001,1,1,0,,,,"college"
"Keith Langford","/players/l/langfke01.html",91,,,,2001,1,1,0,,,,"college"
"Jason Braxton","https://www.sports-reference.com/cbb/players/jason-braxton-1.html",92,,,,2001,1,1,0,,,,"college"
"Jason Clark","https://www.sports-reference.com/cbb/players/jason-clark-2.html",92,,,,2001,1,1,0,,,,"college"
"Chris Hernandez","https://www.sports-reference.com/cbb/players/chris-hernandez-1.html",94,,,,2001,1,1,0,,,,"college"
"Marcus Austin","https://www.sports-reference.com/cbb/players/marcus-austin-1.html",94,,,,2001,1,1,0,,,,"college"
"Terry Licorish","",96,,,,2001,1,0,,,,,"highSchool"
"B.J. Elder","https://www.sports-reference.com/cbb/players/bj-elder-1.html",97,,,,2001,1,1,0,,,,"college"
"Carl Krauser","https://www.sports-reference.com/cbb/players/carl-krauser-1.html",98,,,,2001,1,1,0,,,,"college"
"Emeka Okafor","/players/o/okafoem01.html",99,2004,1,2,2001,1,1,1,1,1,3,"success"
"Michael Fey","https://www.sports-reference.com/cbb/players/michael-fey-1.html",100,,,,2001,1,1,0,,,,"college"
"Amar'e Stoudemire","/players/s/stoudam01.html",1,2002,1,9,2002,1,1,2,1,1,2,"success"
"Carmelo Anthony","/players/a/anthoca01.html",2,2003,1,3,2002,1,1,1,1,1,2,"success"
"Raymond Felton","/players/f/feltora01.html",3,2005,1,5,2002,1,1,1,1,1,3,"success"
"Rashad McCants","/players/m/mccanra01.html",4,2005,1,14,2002,1,1,1,1,0,,"rookie"
"Chris Bosh","/players/b/boshch01.html",5,2003,1,4,2002,1,1,1,1,1,2,"success"
"Jason Fraser","https://www.sports-reference.com/cbb/players/jason-fraser-1.html",5,,,,2002,1,1,0,,,,"college"
"Paul Davis","/players/d/davispa01.html",7,2006,2,34,2002,1,1,1,0,,,"draft"
"Shelden Williams","/players/w/willish02.html",8,2006,1,5,2002,1,1,1,1,1,4,"success"
"Sean May","/players/m/mayse01.html",9,2005,1,13,2002,1,1,1,0,,,"draft"
"DeAngelo Collins","",10,,,,2002,1,0,,,,,"highSchool"
"J.J. Redick","/players/r/redicjj01.html",11,2006,1,11,2002,1,1,1,1,1,2,"success"
"Bracey Wright","/players/w/wrighbr02.html",12,2005,2,47,2002,1,1,1,0,,,"draft"
"Evan Burns","https://www.sports-reference.com/cbb/players/evan-burns-1.html",13,,,,2002,1,1,0,,,,"college"
"Shavlik Randolph","/players/r/randosh01.html",14,,,,2002,1,1,0,,,,"college"
"Daniel Horton","https://www.sports-reference.com/cbb/players/daniel-horton-1.html",15,,,,2002,1,1,0,,,,"college"
"Anthony Roberson","/players/r/roberan02.html",16,,,,2002,1,1,0,,,,"college"
"Chris Rodgers","https://www.sports-reference.com/cbb/players/chris-rodgers-1.html",17,,,,2002,1,1,0,,,,"college"
"Antoine Wright","/players/w/wrighan01.html",18,2005,1,15,2002,1,1,1,1,0,,"rookie"
"Dee Brown","/players/b/brownde03.html",19,2006,2,46,2002,1,1,1,0,,,"draft"
"Hassan Adams","/players/a/adamsha01.html",20,2006,2,54,2002,1,1,1,0,,,"draft"
"Sean Dockery","https://www.sports-reference.com/cbb/players/sean-dockery-1.html",21,,,,2002,1,1,0,,,,"college"
"Brad Buckman","https://www.sports-reference.com/cbb/players/brad-buckman-1.html",22,,,,2002,1,1,0,,,,"college"
"Sani Ibrahim","",23,,,,2002,1,0,,,,,"highSchool"
"Rashad Anderson","https://www.sports-reference.com/cbb/players/rashad-anderson-1.html",24,,,,2002,1,1,0,,,,"college"
"Lenny Cooke","",25,,,,2002,1,0,,,,,"highSchool"
"Bryan Hopkins","https://www.sports-reference.com/cbb/players/bryan-hopkins-1.html",25,,,,2002,1,1,0,,,,"college"
"Andre Iguodala","/players/i/iguodan01.html",27,2004,1,9,2002,1,1,1,1,1,1,"success"
"Elijah Ingram","https://www.sports-reference.com/cbb/players/elijah-ingram-1.html",28,,,,2002,1,1,0,,,,"college"
"Travis Garrison","https://www.sports-reference.com/cbb/players/travis-garrison-1.html",29,,,,2002,1,1,0,,,,"college"
"Michael Thompson","https://www.sports-reference.com/cbb/players/michael-thompson-1.html",30,,,,2002,1,1,0,,,,"college"
"Kelenna Azubuike","/players/a/azubuke01.html",31,,,,2002,1,1,0,,,,"college"
"Kevin Bookout","https://www.sports-reference.com/cbb/players/kevin-bookout-1.html",31,,,,2002,1,1,0,,,,"college"
"Kennedy Winston","https://www.sports-reference.com/cbb/players/kennedy-winston-1.html",33,,,,2002,1,1,0,,,,"college"
"Denham Brown","https://www.sports-reference.com/cbb/players/denham-brown-1.html",34,,,,2002,1,1,0,,,,"college"
"Jimmy McKinney","https://www.sports-reference.com/cbb/players/jimmy-mckinney-1.html",35,,,,2002,1,1,0,,,,"college"
"Eric Williams","https://www.sports-reference.com/cbb/players/eric-williams-5.html",36,,,,2002,1,1,0,,,,"college"
"Torin Francis","https://www.sports-reference.com/cbb/players/torin-francis-1.html",37,,,,2002,1,1,0,,,,"college"
"Gerry McNamara","https://www.sports-reference.com/cbb/players/gerry-mcnamara-1.html",38,,,,2002,1,1,0,,,,"college"
"Allan Ray","/players/r/rayal01.html",39,,,,2002,1,1,0,,,,"college"
"Matt Walsh","/players/w/walshma01.html",40,,,,2002,1,1,0,,,,"college"
"Alexander Johnson","/players/j/johnsal01.html",41,2006,2,45,2002,1,1,1,0,,,"draft"
"Curtis Sumpter","https://www.sports-reference.com/cbb/players/curtis-sumpter-1.html",42,,,,2002,1,1,0,,,,"college"
"John Gilchrist","https://www.sports-reference.com/cbb/players/john-gilchrist-1.html",43,,,,2002,1,1,0,,,,"college"
"Antonio Lawrence","https://www.sports-reference.com/cbb/players/antonio-lawrence-1.html",44,,,,2002,1,1,0,,,,"college"
"Brandon Roy","/players/r/roybr01.html",45,2006,1,6,2002,1,1,1,1,1,1,"success"
"Jarrett Jack","/players/j/jackja01.html",46,2005,1,22,2002,1,1,1,1,1,3,"success"
"De'Angelo Alexander","https://www.sports-reference.com/cbb/players/deangelo-alexander-1.html",47,,,,2002,1,1,0,,,,"college"
"Deron Williams","/players/w/willide01.html",48,2005,1,3,2002,1,1,1,1,1,2,"success"
"Lester Abram","https://www.sports-reference.com/cbb/players/lester-abram-1.html",49,,,,2002,1,1,0,,,,"college"
